Account,Region,SecurityIDType,SecurityID,Description,Quantity,RequestID,QuantityReceived,Rate,LocateID
CIL,US,SEDOL,BVLZX12,EQIX US Equity,3000,,3000,GC,5569403510117190551-CPB10920
CIL,US,SEDOL,B3P8JJ1,EQL US Equity,14000,,0,N/A,N/A
CIL,US,SEDOL,B88QRC6,EQM US Equity,33000,,33000,0.85,2427388679182663196-CPB10920
CIL,US,SEDOL,BF4K3J0,EQNR US Equity,52000,,52000,GC,5546517169502110809-CPB10920
CIL,US,SEDOL,2319157,EQR US Equity,16000,,16000,GC,1492319574034432526-CPB10920
CIL,US,SEDOL,2319414,EQT US Equity,89000,,89000,GC,155005664752780463-CPB10920
CIL,US,SEDOL,B8KM2D8,ERA US Equity,99000,,74993,GC,308357890978893616-CPB10920
CIL,US,SEDOL,2831361,ERC US Equity,82000,,21489,19.63,4493062909309204872-CPB10920
CIL,US,SEDOL,BQXTNW8,ERI US Equity,25000,,25000,GC,1973294016641715463-CPB10920
CIL,US,SEDOL,2031730,ERIC US Equity,122000,,122000,GC,4412919582018353824-CPB10920
CIL,US,SEDOL,2311711,ERIE US Equity,6000,,6000,GC,7133349187917430773-CPB10920
CIL,US,SEDOL,B3B5J07,ERII US Equity,106000,,106000,GC,7379786386758090132-CPB10920
CIL,US,SEDOL,2611916,ERJ US Equity,57000,,57000,GC,5890504268671335466-CPB10920
CIL,US,SEDOL,BD73LL0,ERUS US Equity,26000,,24688,GC,532542188392591991-CPB10920
CIL,US,SEDOL,B3FDJ41,ERX US Equity,61000,,61000,1.60,3026907863991602542-CPB10920
CIL,US,SEDOL,BVVN4Q8,ES US Equity,18000,,18000,GC,3927615176970711448-CPB10920
CIL,US,SEDOL,2321583,ESE US Equity,13000,,13000,GC,1997606826369827620-CPB10920
CIL,US,SEDOL,BD06LG1,ESGD US Equity,16000,,0,N/A,N/A
CIL,US,SEDOL,B1Q76J2,ESGR US Equity,6000,,6000,GC,2115317875198675285-CPB10920
CIL,US,SEDOL,BF5J5D4,ESGV US Equity,20000,,0,N/A,N/A
CIL,US,SEDOL,BJ1C2K1,ESI US Equity,98000,,98000,GC,6928781782959017399-CPB10920
CIL,US,SEDOL,B012HB4,ESLOY US Equity,14000,,0,N/A,N/A
CIL,US,SEDOL,BFWGXR8,ESNT US Equity,21000,,21000,GC,649619682126117277-CPB10920
CIL,US,SEDOL,BBNBTD2,ESPR US Equity,28000,,0,N/A,N/A
CIL,US,SEDOL,BF321D7,ESRT US Equity,72000,,72000,GC,2006276875823302833-CPB10920
CIL,US,SEDOL,2316619,ESS US Equity,5000,,5000,GC,4257469126638126034-CPB10920
CIL,US,SEDOL,BD8NZR3,ESSYY US Equity,34000,,0,N/A,N/A
CIL,US,SEDOL,BYVR2D4,ESTA US Equity,51000,,36034,GC,8335315832992710769-CPB10920
CIL,US,SEDOL,BFXCLC6,ESTC US Equity,12000,,12000,GC,4688217959636644996-CPB10920
CIL,US,Unknown,ESV US,ESV US Equity,113000,,0,N/A,N/A
CIL,US,SEDOL,B7NFLZ2,ESYJY US Equity,71000,,0,N/A,N/A
CIL,US,SEDOL,B0WHXD2,ET US Equity,76000,,76000,GC,5630248817626072731-CPB10920
CIL,US,SEDOL,B07W5J2,ETB US Equity,65000,,13241,33.75,3349326673764137828-CPB10920
CIL,US,SEDOL,2299011,ETFC US Equity,28000,,28000,GC,6951496776577207802-CPB10920
CIL,US,SEDOL,2347589,ETG US Equity,62000,,0,N/A,N/A
CIL,US,SEDOL,2320825,ETH US Equity,54000,,54000,GC,841760380186310887-CPB10920
CIL,US,SEDOL,B23K5C7,ETJ US Equity,109000,,109000,13.88,9077393190252398069-CPB10920
CIL,US,SEDOL,B8KQN82,ETN US Equity,14000,,14000,GC,6352091071084346678-CPB10920
CIL,US,SEDOL,2317087,ETR US Equity,14000,,14000,GC,270960786631408461-CPB10920
CIL,US,SEDOL,BFMWBV6,ETRN US Equity,73000,,73000,GC,8532159787395466715-CPB10920
CIL,US,SEDOL,BWTN5N1,ETSY US Equity,18000,,18000,GC,8767283826329958776-CPB10920
CIL,US,SEDOL,B0CCDG0,ETV US Equity,69000,,69000,37.50,8170589909356951461-CPB10920
CIL,US,SEDOL,B0LLFD9,ETW US Equity,105000,,74139,18.63,6527060092258566676-CPB10920
CIL,US,SEDOL,B94B8X0,ETX US Equity,48000,,0,N/A,N/A
CIL,US,SEDOL,B1JGNK6,ETY US Equity,84000,,84000,15.88,8203118464201015939-CPB10920
CIL,US,SEDOL,B633900,EUFN US Equity,58000,,58000,4.75,4223698244532194686-CPB10920
CIL,US,SEDOL,B28ZL96,EUM US Equity,53000,,0,N/A,N/A
